1606342260,574.926,574.926,574.926,574.926,0.1,1
1606342560,575.346,575.346,574.581,574.581,0.63349376,3
1606342800,572.019,572.019,572.019,572.019,0.43592373,1
1606342920,571.279,571.279,567.718,567.718,0.174,3
1606342980,568.682,568.682,568.682,568.682,0.03001375,1
1606343040,564.263,564.263,564.256,564.256,5,2
1606343280,570.356,570.356,570.356,570.356,0.1,1
1606344240,565.253,565.253,565.253,565.253,0.1,1
1606344360,562.341,562.341,562.341,562.341,0.06623586,1
1606344480,564.944,564.944,564.944,564.944,0.1,1
1606345560,562.936,562.936,562.936,562.936,0.1,1
1606345920,560.423,560.423,559.812,559.812,0.083,2
1606345980,559.143,559.143,559.143,559.143,0.1,1
1606346040,559.392,559.392,559.392,559.392,0.035,1
1606346160,554.441,554.441,554.441,554.441,0.7,1
1606346220,554.383,554.443,554.383,554.443,1.254,3
1606346820,561.703,562.658,561.703,562.658,0.2,2
1606346880,563.501,563.501,563.501,563.501,0.032,1
1606347300,565.477,565.477,565.477,565.477,0.132,1
1606347480,566.689,566.689,566.689,566.689,0.1,1
1606347780,569.701,569.701,569.701,569.701,0.024,1
1606348200,570.949,570.949,570.949,570.949,0.1,1
1606348380,571.317,571.317,571.317,571.317,6.37147,3
1606348800,568.22,568.22,568.22,568.22,0.1,1
1606348980,562.425,562.425,562.425,562.425,0.05465621,1
1606349280,568.078,568.078,568.078,568.078,0.1,1
1606350780,572.625,572.625,572.625,572.625,0.45824159,1
1606351080,573.245,573.245,573.245,573.245,0.1,1
1606352040,573.245,573.245,573.245,573.245,0.07281668,1
1606353420,571.515,571.515,571.515,571.515,0.1,1
1606354260,568.405,568.405,568.405,568.405,0.1,1
1606354500,569.728,569.728,569.728,569.728,0.1,1
1606355100,569.188,569.188,569.187,569.187,0.2222,2
1606355400,567.352,567.352,567.352,567.352,0.1,1
1606356300,565.33,565.33,565.33,565.33,0.1,1
1606356480,562.844,562.844,562.843,562.843,1.75,4
1606356660,561.713,561.713,561.713,561.713,0.062578,1
1606356720,562.234,562.234,562.234,562.234,0.031,1
1606357200,563.175,563.175,563.175,563.175,0.1,1
1606357500,560.758,560.758,560.758,560.758,0.1,1
1606357740,557.61,557.61,557.61,557.61,0.132,1
1606358100,561.375,561.375,561.375,561.375,0.07412735,1
1606358160,561.375,561.375,561.375,561.375,0.02587265,1
1606358520,558.645,558.645,558.645,558.645,0.1,1
1606358820,555.683,555.683,555.683,555.683,0.132,1
1606358880,554.443,554.443,554.443,554.443,0.02987559,1
1606359840,549.1,549.1,549.1,549.1,0.071,1
1606360020,541.799,541.799,541.799,541.799,0.72551895,1
1606360800,538.033,538.033,538.033,538.033,1.88186204,1
1606361400,537.01,537.01,529.838,529.838,10.01161934,10
1606361460,524.969,524.969,518.482,518.482,37.05096452,12
1606361520,513.874,519.824,512.269,512.269,44.57561953,40
1606361580,512.269,520.998,512.269,520.998,10.3226085,38
1606361640,517.512,517.512,511.088,511.088,3.82876049,6
1606361700,524.143,524.143,521.21,521.21,2.53042551,2
1606361760,519.783,519.783,519.783,519.783,0.22189245,1
1606361820,519.783,519.783,519.783,519.783,0.02997036,1
1606361940,516.5,516.5,511.248,511.248,7.55170556,7
1606362000,512.647,516.639,512.647,516.639,0.41538,4
1606362360,521.891,521.891,521.891,521.891,0.41047964,1
1606362480,529.332,529.332,529.332,529.332,2,1
1606362900,532.357,532.357,532.321,532.321,1.20662,5
1606363320,523.411,523.411,523.231,523.231,2,3
1606363440,529.066,529.066,527.991,527.991,2.98233,6
1606363620,535.731,535.732,535.731,535.732,2,2
1606364220,532.279,532.279,532.279,532.279,2.11206153,2
1606365000,528.026,528.026,528.026,528.026,2.11615162,2
1606365600,520.505,520.505,520.505,520.505,1,1
1606366500,523.413,523.413,523.413,523.413,1.92281027,1
1606366560,523.413,523.413,523.413,523.413,1.19718973,3
1606366740,525.018,525.018,525.018,525.018,0.20948,1
