time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2019-02-02T00:00:00Z,3435.5,3484.5,3414,3464,1189.8290499999998,1282.3459999999998,876.3760999999998,728919652,889299746.5
2019-02-03T00:00:00Z,3464,3470.5,3382.5,3414,1189.8290499999998,1282.3459999999998,876.3760999999998,763280076,880533556.75
2019-02-04T00:00:00Z,3414,3435,3394,3406.5,1189.8290499999998,1282.3459999999998,876.3760999999998,554983495,867147936.6
2019-02-05T00:00:00Z,3406.5,3430,3396,3428.5,1189.8290499999998,1282.3459999999998,876.3760999999998,435570729,845915440.55
2019-02-06T00:00:00Z,3428.5,3446,3330,3365.5,1189.8290499999998,1282.3459999999998,876.3760999999998,929931861,845239656.7
2019-02-07T00:00:00Z,3365.5,3378.5,3350.5,3357,1189.8290499999998,1282.3459999999998,876.3760999999998,333273271,829081904.2
2019-02-08T00:00:00Z,3357,3728,3341,3626,1189.8290499999998,1282.3459999999998,876.3760999999998,1755549256,879573802.1
2019-02-09T00:00:00Z,3626,3642.5,3595,3626,1189.8290499999998,1282.3459999999998,876.3760999999998,664676512,861980609.6
2019-02-10T00:00:00Z,3626,3660,3575,3648,1189.8290499999998,1282.3459999999998,876.3760999999998,732314688,860440126.6
2019-02-11T00:00:00Z,3648,3652.5,3575.5,3591,1189.8290499999998,1282.3459999999998,876.3760999999998,744728832,840266233.05
2019-02-12T00:00:00Z,3591,3618,3550,3587.5,1189.8290499999998,1282.3459999999998,876.3760999999998,870328982,838568816.05
2019-02-13T00:00:00Z,3587.5,3632,3562.5,3577,1189.8290499999998,1282.3459999999998,876.3760999999998,649214457,834963311.9
2019-02-14T00:00:00Z,3577,3590,3533,3560,1189.8290499999998,1282.3459999999998,876.3760999999998,591406772,826024116.55
2019-02-15T00:00:00Z,3560,3615,3536.5,3565,1189.8290499999998,1282.3459999999998,876.3760999999998,728403854,821205889.5
2019-02-16T00:00:00Z,3565,3609.5,3564,3579.5,1189.8290499999998,1282.3459999999998,876.3760999999998,627259315,812992271.5
2019-02-17T00:00:00Z,3579.5,3680,3553,3623.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1019233948,783904773.15
2019-02-18T00:00:00Z,3623.5,3919,3615,3867.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2873418963,877817286.95
2019-02-19T00:00:00Z,3867.5,3972,3838,3888,1189.8290499999998,1282.3459999999998,876.3760999999998,2058087199,934173427.3
2019-02-20T00:00:00Z,3888,3958,3868.5,3938.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1248217490,959432884.25
2019-02-21T00:00:00Z,3938.5,3995,3863,3897.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1211912456,976035590.4
2019-02-22T00:00:00Z,3897.5,3957,3886.5,3938.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1028224433,991000829.45
2019-02-23T00:00:00Z,3938.5,4157.5,3906.5,4111.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1754842139,1040578932.6
2019-02-24T00:00:00Z,4111.5,4190,3702,3733.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2458966881,1135778101.9
